tier,id,name,brand,subBrand,pitchKey,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason
silver,g11,Harper,Spring Air,Back Supporter Hybrid,Back Supporter Hybrid (Phase Change),5,Medium,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,Multi-layer cooling foam meets zoned lumbar support,yes,medium|cooling|serene-foam|gel-memory-foam|back-supporter-technology|motion-isolation|quality|comfort|foam-encasement|hybrid|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,Perfect medium feel for most sleepers,,,Blends cooling comfort with targeted motion-separating support and multiple layers of pressure-relieving foam,Balanced cooling hybrid with Back Supporter coils — works for most sleep styles.
silver,g12,Helena,Spring Air,Back Supporter Hybrid,Back Supporter Hybrid (Phase Change),8,Firm,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,Multi-layer cooling foam meets zoned lumbar support,yes,medium|cooling|serene-foam|gel-memory-foam|motion-isolation|back-supporter-technology|quality|comfort|foam-encasement|hybrid|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,,Extra firm for stomach sleepers and larger builds,,Blends cooling comfort with targeted motion-separating support and multiple layers of pressure-relieving foam,Firm cooling hybrid with reinforced Back Supporter coils for solid lumbar support.
silver,g13,Kylie,Spring Air,Back Supporter Hybrid,Back Supporter Hybrid (PCM Ice),2,Plush,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,PCM ice cover with gel memory foam for refreshing sleep,yes,plush|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|soft|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,"Supportive yet soft, plush feel for side sleepers",,,,PCM ice cover + gel memory foam + pocketed coils for refreshing sleep,Plush feel with a phase-change cooling cover — draws heat away the moment you lie down.
silver,g14,Karla,Spring Air,Back Supporter Hybrid,Back Supporter Hybrid (PCM Ice),5,Medium,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,PCM ice cover with gel memory foam for refreshing sleep,yes,medium|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,Perfect medium feel for most sleepers,,,PCM ice cover + gel memory foam + pocketed coils for refreshing sleep,Medium feel with phase-change cooling cover — regulates your temperature through the night.
silver,g15,Kacey,Spring Air,Back Supporter Hybrid,Back Supporter Hybrid (PCM Ice),9,Firm,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|PCM Cover,PCM ice cover with gel memory foam for refreshing sleep,yes,firm|cooling|gel-memory-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned|durability|memory,Phase Change Material cover actively cools the surface,Gel Memory Foam reduces pressure + comfort foam layers,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,,,Extra firm for stomach sleepers and larger builds,,PCM ice cover + gel memory foam + pocketed coils for refreshing sleep,Firm support with active phase-change cooling — stays cool even when you don't move.
bronze,g16,Veronica,Restonic,ComfortCare Hybrid,,10,Firm,,Hybrid|Zoned Support|Cooling,Hybrid|Cooling|Zoned Support,Cool gel foam with zoned coils for spinal alignment,yes,firm|cooling|gel-infused-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned,Luxurious cooling cover wicks moisture and heat,Cool gel foam contours to body for pressure relief,Pocketed coils minimize partner disturbance,Marvelous Middle gives 25% more center support,,,Extra firm feel for back and stomach sleepers,,"Cool gel foam, zoned wrapped coils, targeted support and spinal alignment",Extra-firm hybrid with zoned support — built for back and stomach sleepers who need solid structure.
bronze,g17,Mechelle,Restonic,ComfortCare Hybrid,,4,Medium-Plush,,Hybrid|Zoned Support|Cooling,Hybrid|Cooling|Zoned Support,Cool gel foam with zoned coils for spinal alignment,yes,plush|cooling|gel-infused-foam|motion-isolation|quality|comfort|hybrid|foam-encasement|zoned,Luxurious cooling cover wicks moisture and heat,Cool gel foam contours to body for pressure relief,Pocketed coils minimize partner disturbance,Marvelous Middle gives 25% more center support,,Perfect medium-plush feel for most sleepers,,,"Cool gel foam, zoned wrapped coils, targeted support and spinal alignment",Medium-plush hybrid with zoned cooling support — balanced comfort for mixed sleep positions.
bronze,g18,Ariana,Bel-O-Pedic,Value Hybrid,,4,Medium-Plush,,Hybrid|Cooling,Hybrid|Cooling,Comfortable hybrid with cooling foam at a great value,yes,plush|cooling|gel-infused-foam|motion-isolation|comfort|hybrid|foam-encasement|zoned,Luxurious cooling cover wicks moisture and heat,Cool gel foam contours to body for pressure relief,Pocketed coils minimize partner disturbance,Marvelous Middle gives 25% more center support,,,,,"Cool gel foam, zoned wrapped coils, targeted support and spinal alignment",Medium-plush cooling hybrid — approachable comfort at an approachable price.
bronze,g19,Catalina,Bel-O-Pedic,Value Hybrid,,9,Firm,,Hybrid|Cooling,Hybrid|Cooling,Comfortable hybrid with cooling foam at a great value,yes,firm|cooling|gel-infused-foam|motion-isolation|comfort|hybrid|foam-encasement|zoned,Luxurious cooling cover wicks moisture and heat,Cool gel foam contours to body for pressure relief,Pocketed coils minimize partner disturbance,Marvelous Middle gives 25% more center support,,,,,"Cool gel foam, zoned wrapped coils, targeted support and spinal alignment",Firm cooling hybrid — solid support without the premium price.
bronze,g20,Bella,Spring Air,Back Supporter,,3,Plush,,Innerspring|Back Supporter,Innerspring|Back Supporter,Supportive innerspring with cool foam and lumbar zoning,yes,plush|comfort|support|innerspring|foam-encasement|soft|zoned,Cool cover for temperature control,Cool Foam with Polygel for increased comfort and pressure relief,,Marvelous Middle gives 25% more center support,Plush feel for side sleepers,,,,"Cool gel foam, innerspring, targeted support and spinal alignment","Plush innerspring with Back Supporter coils — soft comfort, proven spinal support."
bronze,g21,Brandon,Spring Air,Back Supporter,,5,Medium,,Innerspring|Back Supporter,Innerspring|Back Supporter,Supportive innerspring with cool foam and lumbar zoning,yes,medium|comfort|support|innerspring|foam-encasement|zoned,Cool cover for temperature control,Cool Foam with Polygel for increased comfort and pressure relief,,Marvelous Middle gives 25% more center support,,Perfect medium-plush feel for most sleepers,,,"Cool gel foam, innerspring, targeted support and spinal alignment","Balanced innerspring feel with Back Supporter coils — reliable support, no-frills value."
bronze,g22,Chloe,Spring Air,Back Supporter,,4,Medium-Plush,,Innerspring|Back Supporter,Innerspring|Back Supporter,Supportive innerspring with cool foam and lumbar zoning,yes,medium|comfort|support|innerspring|foam-encasement|zoned,,,Back Supporter dual gauge spring - firmer center coils for lumbar support,,Perfect medium-plush feel for most sleepers,,,,Quality innerspring mattress with targeted center support and spinal alignment,Medium-plush innerspring with Back Supporter coils — gentle cradle with structured support.
bronze,g24,Bucca,Bel-O-Pedic,Charcoal,,7,Cushion Firm,,Hybrid|Cooling|Foam-Encased,Hybrid|Cooling|Charcoal Foam,Charcoal-infused hybrid ,no,firm|cooling|pressure-relief|hybrid|motion-isolation|charcoal-foam|10-year-warranty|foam-encasement|zoned|durability|adjustable|memory,Cooling yarn fabric (ICE yarn blend) with Amstar-Aero Cool Gel Memory Foam draws heat away,Amstar-Aero Cool Gel Memory Foam and SilkFoam Technology contour to body for pressure relief,Micro Pocket Coil and Amstar-Adaptive Individual Pocket Coils minimize motion transfer,"Amstar-Adaptive Pocket Coils (8"" spring height) with lumbar support options for back alignment",,,Cushion firm feel ideal for back and stomach sleepers,,Charcoal-infused gel foam hybrid with micro pocket coils and foam encasement for cool pressure-relieving sleep,Cushion-firm cooling hybrid with charcoal foam — solid build at a Bronze price.
bronze,g25,Cleobella,Bel-O-Pedic,7-Zone,,3,Plush,,Hybrid|Cooling|7-Zone Support,Hybrid|Cooling|7-Zone,Wool-quilted plush hybrid with 7-zone ergonomic support,no,plush|cooling|pressure-relief|hybrid|motion-isolation|7-zone|wool|foam-encasement|soft|zoned|adjustable,Cooling fabric cover quilted with wool regulates temperature throughout the night,"Amstar-Flex comfort foam and 7-zone ergonomic foam target pressure points at head, shoulders, hips and knees",Foam-encased pocketed coils (~900) move independently to reduce motion transfer,7-zone ergonomic foam provides targeted lumbar and hip support for proper spinal alignment,Cloud-soft plush feel ideal for side sleepers and those with shoulder or hip pain,,,,Wool-quilted plush hybrid with 7-zone ergonomic support and ~900 foam-encased pocketed coils,"Plush comfort over 7-zone cooling support — soft surface, zoned spinal alignment."
bronze,g26,Cleodora,Bel-O-Pedic,7-Zone,,8,Firm,,Hybrid|Cooling|7-Zone Support,Hybrid|Cooling|7-Zone,Wool-quilted firm hybrid with 7-zone ergonomic support,no,firm|cooling|support|hybrid|motion-isolation|7-zone|wool|foam-encasement|zoned|adjustable,Cooling fabric cover quilted with wool regulates temperature throughout the night,"Amstar-Flex comfort foam and 7-zone ergonomic foam cushion pressure points at head, shoulders, hips and knees",Foam-encased pocketed coils (~900) move independently to reduce motion transfer,7-zone ergonomic foam delivers firmer lumbar and hip support for excellent spinal alignment,,,Firm hotel-style feel for back and stomach sleepers who need solid structure,,Wool-quilted firm hybrid with 7-zone ergonomic support and ~900 foam-encased pocketed coils,Firm cooling hybrid with 7-zone support — targeted firmness where your body needs it most.
silver,g27,Daybreak,Bel-O-Pedic,Cooling Hybrid,,5,Medium,,Hybrid|Euro Top|Cooling,Hybrid|Euro Top|Cooling,15-inch euro top medium hybrid for all-night balanced comfort,no,medium|cooling|support|hybrid|euro-top|motion-isolation|foam-encasement|zoned|adjustable,Euro Top cooling cover helps regulate sleep temperature,Plush euro top layer plus responsive comfort foams relieve pressure at shoulders and hips,Individually wrapped pocketed coils minimize motion transfer,Individually wrapped coil system delivers zoned support and edge-to-edge stability,,Perfect medium feel adaptable for all sleep positions,,,Premium 15-inch euro top hybrid with cooling cover and zoned coil support,"Medium cooling hybrid with Euro top — gentle start, solid foundation."
silver,g28,Rejuvenation,Bel-O-Pedic,Cooling Hybrid,,3,Plush,,Hybrid|Cooling|Plush,Hybrid|Cooling|Plush,Plush cooling hybrid designed for deep pressure relief,no,plush|cooling|pressure-relief|hybrid|motion-isolation|foam-encasement|soft|adjustable,Cooling cover actively draws heat away from the sleep surface,Multiple layers of cooling comfort foam contour deeply to shoulders and hips,Pocketed coil system minimizes motion transfer for undisturbed sleep,Individually wrapped coils provide targeted support and edge-to-edge stability,Deeply cushioned plush feel for side sleepers and those with joint pain,,,,Plush cooling hybrid with premium comfort foams and pocketed coils for deeply cushioned refreshing sleep,"Plush cooling hybrid — soft, cool, and built for deep restorative sleep."
bronze,g29,Serenity,Bel-O-Pedic,Cooling Hybrid,,8,Firm,,Hybrid|Cooling|Firm Support,Hybrid|Cooling|Firm,Firm cooling hybrid for solid hotel-style support,no,firm|cooling|support|hybrid|motion-isolation|foam-encasement|adjustable,Cooling cover actively draws heat away from the sleep surface,Comfort foam layers relieve pressure while maintaining a firm feel,Pocketed coil system minimizes motion transfer,Individually wrapped coils deliver firm edge-to-edge support and spinal alignment,,,Firm feel for back and stomach sleepers who need solid structured support,,Firm cooling hybrid with premium comfort foams and pocketed coils for solid structured support,Firm cooling hybrid — straightforward solid support for firmness-first sleepers.
bronze,g30,Sunset,Bel-O-Pedic,Cooling Hybrid,,8,Firm,,Hybrid|Euro Top|Firm|Cooling,Hybrid|Euro Top|Firm,15-inch euro top firm hybrid for structured all-night support,no,firm|cooling|support|hybrid|euro-top|motion-isolation|foam-encasement|adjustable,Euro Top cooling cover helps regulate sleep temperature,Euro Top comfort layer plus responsive foams cushion pressure points without sacrificing firmness,Individually wrapped pocketed coils minimize motion transfer,Individually wrapped coil system delivers firm zoned support and edge-to-edge stability,,,Firm euro top feel for back and stomach sleepers who want structure with surface comfort,,Premium 15-inch euro top firm hybrid with cooling cover and zoned coil support,"Firm cooling hybrid with Euro top — firm core, gentle surface transition."
bronze,g31,Tiffany,Bel-O-Pedic,Charcoal,,3,Plush,,Hybrid|Cooling|Charcoal Foam,Hybrid|Cooling|Ultra Plush,Charcoal memory foam hybrid with ultra plush cloud-like feel,no,plush|cooling|pressure-relief|hybrid|motion-isolation|charcoal-foam|10-year-warranty|foam-encasement|soft|adjustable|memory,Cooling yarn fabric (ICE yarn blend) with 3-inch Amstar-Aero Charcoal Memory Foam draws heat away,"Amstar-Aero Charcoal Memory Foam (3-inch, 2.5lb) and SilkFoam Technology deeply contour to body",Micro Pocket Coil system and Amstar-Adaptive Individual Pocket Coils minimize motion transfer,Amstar-Adaptive Pocket Coils with lumbar support options maintain spinal alignment,Ultra plush cloud-like feel for side sleepers and those with shoulder or hip pain,,,,10-year warranty OEKO-TEX certified charcoal memory foam hybrid with micro pocket coils for ultra plush pressure-relieving sleep,Ultra-plush cooling hybrid — the softest cradle in the Bel-O-Pedic line.
bronze,g32,Tranquil,Bel-O-Pedic,Memory Foam,,8,Firm,,Memory Foam|Cooling|Firm,Memory Foam|Cooling|Firm,Medical-grade memory foam with knit cooling cover for firm cool sleep,no,firm|cooling|pressure-relief|memory-foam|support|adjustable|memory,Breathable knit cooling cover conducts heat away from the body for cooler sleep,4lb medical-grade memory foam contours slowly to reduce pressure points and keep you aligned,All-foam construction absorbs and isolates motion for undisturbed sleep,Amstar-Flex transition layer adds resilient support and stability across the entire surface,,,Firm memory foam feel for back and stomach sleepers needing solid structure,,Firm all-foam mattress with knit cooling cover and medical-grade memory foam for cool structured sleep,Firm cooling memory foam — all-foam construction with targeted cooling and solid support.
